"Song_Name","View_Count","Like_Count"
"Killing In The Name Rage Against The Machine",246115823,1725234
"Plush Stone Temple Pilots",64315800,412676
"Everybody Hurts R.E.M.",147956846,946735
"Baby Got Back Sir Mix-a-Lot",67681148,755443
"Real Love Mary J. Blige",939545,20396
"Jump Around House of Pai",117795780,1052835
"Loser Beck",185150580,1135772
"All I Wanna Do Sheryl Crow",4973965,55967
"Today Smashing Pumpkins",57011041,383700
"Whatta Man Salt 'n' Pepa with En Vogue",12678360,128492
"Mr. Jones Counting Crows",308798128,1220201
"Runaway Train Soul Asylum",208998698,1078943
"All Apologies Nirvana",96975278,429414
"That's The Way Love Goes Janet Jackson",22492087,258262
"Gin & Juice Snoop Doggy Dogg",1360971,2929
"Are You Gonna Go My Way Lenny Krav",63584857,417074
"Waterfalls TLC",150687389,891825
"Black Hole Sun Soundgarden",246997921,1558584
"Closer Nine Inch Nails",32110055,430181
"Sabotage Beastie Boys",124001301,785812
"Regulate Warren G",347288280,2115694
"Longview Green Day",18979961,127715
"Creep TLC",119198534,700640
"Lightning Crashes Live",94960697,504187
"Zombie The Cranberries",1467887437,7663395
"Interstate Love Song Stone Temple Pilots",65401461,370257
"Gangsta's Paradise Coolio",1396995375,11819337
"You Oughta Know Alanis Morissette",77730628,453341
"Wonderwall Oasis",458240720,2864117
"1979 Smashing Pumpkins",221066055,1109150
"Bullet With Butterfly Wings Smashing Pumpkins",80278291,548266
"The Crossroads Bone Thugs 'n' Harmony",155164493,1138688
"Ironic Alanis Morissette",240377703,1308128
"Dear Mama 2Pac",424108864,3528504
"Santa Monica Everclear",35047633,208229
"Champagne Supernova Oasis",118190613,537698
"California Love 2Pac",43650304,510136
"No Diggity BLACKstreet",358272362,2085301
"Don't Speak No Doubt",1051115643,3811719
"Killing Me Softly The Fugees",475170434,3128631
"What I Got Sublime",72946147,379004
"I Believe I Can Fly R. Kelly",14688753,213034
"Crash into Me Dave Matthews Band",32638390,170860
"Where It's At Beck",21608104,139950
"Woo-Hah!! Got You All In Check Busta Rhymes",4819188,71526
"Bulls On Parade Rage Against The Machi",79301685,552704
"Mo Money Mo Problems Notorious B.I.G.",2258222,21932
"Paranoid Android Radiohead",34454011,261312
"Bittersweet Symphony The Verve",979298858,4738604
"Song 2 Blur",176099421,1582994
"Good Riddance (Time of Your Life) Green Day",94388775,614240
"I'll Be Missing You Puff Daddy",3231977,31694
"Everlong Foo Fighters",287822638,1558337
"On and On Erykah Badu",63140009,547054
"Karma Police Radiohead",98913080,676361
"Semi-Charmed Life Third Eye Blind",1935634,21322
"Doo Wop (That Thing) Lauryn Hill",174039841,1164496
"Hard Knock Life Jay Z",2442054,35445
"Iris Goo Goo Dolls",485431833,2919089
"Intergalactic Beastie Boys",90852550,696784
"Ray Of Light Madonna",30720127,195019
"The Boy Is Mine Brandy and Monica",102397647,775235
"One Week Barenaked Ladies",37304907,218828
"Bawitdaba Kid Rock",52114261,314291
"Freak On A Leash Korn",297671519,1687519
"Rosa Parks Outkast",1539937,21045
"Smooth Santana and Rob Thomas",353284611,1724031
"My Name Is Eminem",50554545,547601
"Scar Tissue Red Hot Chili Peppers",490210848,2095541
"No Scrubs TLC",397645284,2303473
"Higher Creed",75546636,365732
"All The Small Things Blink 182",359207501,1719944
"I Try Macy Gray",73931118,528598
"Drive Incubus",194017825,1043733
"Say My Name Destiny's Child",371705305,1832945
"Steal My Sunshine Len",74183398,418098
"Idioteque Radiohead",6647685,86809
"Yellow Coldplay",989633886,5298236
"Beautiful Day U2",188957703,739869
"Ms. Jackson OutKast",329733302,2837274
"One More Time Daft Punk",479524843,2970599
"Stan Eminem",691221284,5755731
"Try Again Aaliyah",11243037,183459
"B.O.B. (Bombs Over Baghdad) OutKast",26059487,218279
"In the End Linkin Park",1670681060,11152116
"Music Madonna",36924819,218825
"Last Nite The Strokes",120321572,633652
"Get Ur Freak On Missy Elliott",78039106,716750
"Fallin' Alicia Keys",307029090,1965122
"Fell in Love with a Girl The White Stripes",26187776,294446
"Can't Get You Out of My Head Kylie Minogue",411773179,2719147
"Family Affair Mary J. Blige",524139039,2612589
"How You Remind Me Nickelback",58808207,652058
"Harder Better Faster Stronger Daft Punk",131486485,1484630
"Survivor Destiny's Child",187755295,1255135
"Izzo (H.O.V.A.) Jay Z",2705634,35454
"Lose Yourself Eminem",1331717761,9650171
"Clocks Coldplay",459344071,2169577
"Losing My Edge LCD Soundsystem",1937013,10900
"House of Jealous Lovers The Rapture",1707171,9895
"The Seed (2.0) The Roots",54748573,320088
"Work It Missy Elliot",150044522,1143318
"Without Me Eminem",1812219510,13113043
"No One Knows Queens of the Stone Age",168982851,868289
"Made You Look Nas",13482283,125227
"Dilemma Nelly feat. Kelly Rowland",1485569882,7904804
"Hey Ya! Outkast",688150164,5101188
"Crazy In Love Beyonce",750484361,3598373
"Seven Nation Army The White Stripes",608750675,5048527
"Jesus Walks Kanye West",6611129,88365
"In Da Club 50 Cent",1936909956,11881763
"99 Problems Jay Z",2216305,26285
"Mr. Brightside The Killers",544058500,2798349
"Maps Yeah Yeah Yeahs",84298690,481932
"Ignition R. Kelly",6606189,46147
"Where is the Love Black Eyed Peas",1004285020,5318878
"Take Me Out Franz Ferdinand",110257146,932605
"Yeah! Usher feat. Lil' Jon and Ludacris",877591612,5617331
"Boulevard of Broken Dreams Green Day",767866081,6200287
"Toxic Britney Spears",641824199,4246960
"Since U Been Gone Kelly Clarkson",118913058,707144
"Neighborhood 1 (Tunnels) Arcade Fire",4323190,24182
